YEAR,No
2022,45
2021,85
2020,81
2019,76
2018,54
2017,58
2016,61
2015,76
2014,87
2013,81
2012,60
2011,53
2010,50
2009,80
2008,163
2007,113
2006,34
2005,31
2004,23
2003,13
2002,11
2001,8
2000,4
1999,5
1998,2
1997,1
1996,1
1995,4
1990,1
1989,1
1988,1
1987,1
1963,1
